name,position
Nicola Sturgeon,First Minister
John Swinney,Deputy First Minister
John Swinney,Cabinet Secretary for Covid Recovery
Shirley-Anne Somerville,Cabinet Secretary for Education and Skills
Humza Yousaf,Cabinet Secretary for Health and Social Care
Kate Forbes,Cabinet Secretary for Finance and the Economy
Keith Brown,Cabinet Secretary for Justice and Veterans
Mairi Gougeon,Cabinet Secretary for Rural Affairs and Islands
Angus Robertson,"Cabinet Secretary for the Constitution, External Affairs and Culture"
Michael Matheson,"Cabinet Secretary for Net Zero, Energy and Transport"
Shona Robison,"Cabinet Secretary for Social Justice, Housing and Local Government"
