wdid,name,wdLabel,gender,dob,dobPrecision,source,sourceDate,pid,position,start,psid
Q121780,Michael Matheson,Michael Matheson,male,1970-09-08,11,https://www.gov.scot/about/who-runs-government/cabinet-and-ministers/,2021-07-29,Q107694359,"Cabinet Secretary for Net Zero, Energy and Transport",2021-05-18,Q121780-129C3F01-275B-4D10-8854-700153B080C1
Q1738042,Keith Brown,Keith Brown,male,1961-12-20,11,https://www.gov.scot/about/who-runs-government/cabinet-and-ministers/,2021-07-29,Q107694363,Cabinet Secretary for Justice and Veterans,2021-05-18,Q1738042-FA8EF35D-ADD8-476C-9F88-67C2EBE3B5BE
Q174924,Humza Yousaf,Humza Yousaf,male,1985-04-07,11,https://www.gov.scot/about/who-runs-government/cabinet-and-ministers/,2021-07-29,Q107694341,Cabinet Secretary for Health and Social Care,2021-05-18,Q174924-C1947D54-3AC9-437D-8A24-C86603E2B99F
Q2279359,Shirley-Anne Somerville,Shirley-Anne Somerville,female,1974-09-02,11,https://www.gov.scot/about/who-runs-government/cabinet-and-ministers/,2021-07-29,Q30762640,Cabinet Secretary for Education and Skills,2021-05-18,Q2279359-729FB213-37D8-4D61-B9D2-2984A919329C
Q24014894,Mairi Gougeon,Mairi Gougeon,female,1985-04-23,11,https://www.gov.scot/about/who-runs-government/cabinet-and-ministers/,2021-07-29,Q107694337,Cabinet Secretary for Rural Affairs and Islands,2021-05-18,Q24014894-B5C571D2-F2CC-4367-9FEE-C1136DA2A6F6
Q24026044,Jenny Gilruth,Jenny Gilruth,female,1985-01-01,8,,,Q6865983,Minister for Transport and Veterans,2022-01-24,Q24026044-05D23287-1564-43E3-B3E5-8D64D0A33E76
Q24039479,Kate Forbes,Kate Forbes,female,1990-04-06,11,https://www.gov.scot/about/who-runs-government/cabinet-and-ministers/,2021-07-29,Q107694344,Cabinet Secretary for Finance and the Economy,2021-05-18,Q24039479-1298F44F-6AE0-43BC-BBF8-11CFA889487F
Q24052665,Ben Macpherson,Ben Macpherson,male,1985-01-01,8,,,Q6865919,Minister for Local Government and Community Empowerment,2021-05-20,Q24052665-3FB17AF7-E67B-48A4-A559-33AD7FF27326
Q333811,John Swinney,John Swinney,male,1964-04-13,11,https://www.gov.scot/about/who-runs-government/cabinet-and-ministers/,2021-08-05,Q106906212,Cabinet Secretary for Covid Recovery,2021-05-18,Q333811-34686207-4840-e3e2-7c91-7ff889ef6cb1
Q333811,John Swinney,John Swinney,male,1964-04-13,11,https://www.gov.scot/about/who-runs-government/cabinet-and-ministers/,2021-07-29,Q5261035,Deputy First Minister,2014-11-21,Q333811-C51D9B28-1347-425A-B9E6-30C2B394BB40
Q444675,Shona Robison,Shona Robison,female,1966-05-26,11,https://www.gov.scot/about/who-runs-government/cabinet-and-ministers/,2021-07-29,Q107694357,"Cabinet Secretary for Social Justice, Housing and Local Government",2021-05-18,Q444675-5F83C462-1D1C-4581-8DD0-697D12AB893C
Q467112,Nicola Sturgeon,Nicola Sturgeon,female,1970-07-19,11,https://www.gov.scot/about/who-runs-government/cabinet-and-ministers/,2021-07-29,Q1362216,First Minister,2014-11-20,Q467112-81362a61-419c-4899-f829-7ac6b437ac12
Q480184,Angus Robertson,Angus Robertson,male,1969-09-28,11,https://www.gov.scot/about/who-runs-government/cabinet-and-ministers/,2021-07-29,Q107694326,"Cabinet Secretary for the Constitution, External Affairs and Culture",2021-05-18,Q480184-133A4985-9C90-4A5D-B620-1CE6DF57AE85
Q5298300,Dorothy Bain,Dorothy Bain,female,,,,,Q1807003,Lord Advocate,2021-06-22,Q5298300-93B07E98-AF48-4FEF-927D-99A29F9EE724
